crn,catalog_id,section,credits,title,meetings,primary_instructor
76818,RS 0263,B,3.000,New Religious Movements in America,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '09/01-12/07', 'location': 'CNS 303'}]",Lydia E. N.  Ciollo
76313,RS 0270,A,3.000,Introduction to Islam,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '09/01-12/07', 'location': 'CNS 305'}]",Michael A.  Rapoport
76819,RS 0289,A,3.000,Tantrism,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '09/01-12/07', 'location': 'CNS 108'}]",Ronald M.  Davidson
76820,RS 0379,A,3.000,"Islam, Race, Power","[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '09/01-12/07', 'location': 'DMH 149'}]",Martin T.  Nguyen
75346,RU 0110,A,3.000,Elementary Russian I,"[{'days': 'MR', 'times': '0930am-1020am', 'dates': '09/01-12/07', 'location': 'DMH 131'}, {'days': 'W', 'times': '0900am-0950am', 'dates': '09/01-12/07', 'location': 'DMH 131'}]",Elena T.  Syssoeva
75347,RU 0210,A,3.000,Intermediate Russian I,"[{'days': 'MR', 'times': '1100am-1150am', 'dates': '09/01-12/07', 'location': 'CNS 5'}, {'days': 'W', 'times': '1000am-1050am', 'dates': '09/01-12/07', 'location': 'CNS 5'}]",Elena T.  Syssoeva
77045,RES 0310,A,3.000,"Capstone Seminar: Current Topics in Russia, Eastern Europe, and Central Asia","[{'days': '\xa0', 'times': 'TBA', 'dates': '09/01-12/07', 'location': 'BY ARR '}]",David W.  McFadden
75050,SO 0011,A,3.000,Introduction to Sociology,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '09/01-12/07', 'location': 'BNW 335'}]",Belinda A.  Quartey
75150,SO 0011,B,3.000,Introduction to Sociology,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '09/01-12/07', 'location': 'BNW 334'}]",Belinda A.  Quartey
75754,SO 0011,C,3.000,Introduction to Sociology,"[{'days': 'W', 'times': '0630pm-0900pm', 'dates': '09/01-12/07', 'location': 'CNS 208'}]",Rose P.  Rodrigues
76510,SO 0011,D,3.000,Introduction to Sociology,"[{'days': 'MW', 'times': '0500pm-0615pm', 'dates': '09/01-12/07', 'location': 'CNS 6'}]",Eric   Mielants
76755,SO 0112,A,3.000,American Society,"[{'days': 'MR', 'times': '1230pm-0120pm', 'dates': '09/01-12/07', 'location': 'CNS 304'}, {'days': 'W', 'times': '1200pm-1250pm', 'dates': '09/01-12/07', 'location': 'CNS 304'}]",Kurt C.  Schlichting
75755,SO 0161,A,3.000,American Class Structure,"[{'days': 'MR', 'times': '0930am-1020am', 'dates': '09/01-12/07', 'location': 'DSB 115'}, {'days': 'W', 'times': '0900am-0950am', 'dates': '09/01-12/07', 'location': 'CNS 202'}]",Rose P.  Rodrigues
75455,SO 0162,A,3.000,"Race,Gender & Ethnic Relations","[{'days': 'TF', 'times': '0330pm-0445pm', 'dates': '09/01-12/07', 'location': 'DMH 349'}]",Peggy L.  Delfino
75538,SO 0162,B,3.000,"Race,Gender & Ethnic Relations","[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '09/01-12/07', 'location': 'DMH 349'}]",Peggy L.  Delfino
75431,SO 0171,A,3.000,Criminology,"[{'days': 'MR', 'times': '1100am-1150am', 'dates': '09/01-12/07', 'location': 'DMH 348'}, {'days': 'W', 'times': '1000am-1050am', 'dates': '09/01-12/07', 'location': 'DMH 348'}]",Rose P.  Rodrigues
75841,SO 0179,A,3.000,Death Penalty in America,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '09/01-12/07', 'location': 'CNS 304'}]",Rose P.  Rodrigues
75230,SO 0192,A,3.000,Social Work: An Introduction,"[{'days': 'W', 'times': '1100am-0130pm', 'dates': '09/01-12/07', 'location': 'CNS 208'}]",Kim A.  Oliver
76757,SO 0221,A,4.000,Statistics: Social and Political Data Analysis,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '09/01-12/07', 'location': 'CNS 304'}]",Kurt C.  Schlichting
75476,SO 0228,A,3.000,Classical Social Theory,"[{'days': 'MW', 'times': '0630pm-0745pm', 'dates': '09/01-12/07', 'location': 'CNS 6'}]",Eric   Mielants
75477,SO 0229,A,3.000,Contemporary Social Theory,"[{'days': 'MW', 'times': '0800pm-0915pm', 'dates': '09/01-12/07', 'location': 'CNS 6'}]",Eric   Mielants
75229,SO 0397,A,3.000,Field Work Placement,"[{'days': '\xa0', 'times': 'TBA', 'dates': '09/01-12/07', 'location': 'BY ARR '}]",Rose P.  Rodrigues
76445,SO 0398,A,3.000,Field Work Placement,"[{'days': '\xa0', 'times': 'TBA', 'dates': '09/01-12/07', 'location': 'BY ARR '}]",Rose P.  Rodrigues
77103,SO 0399,RR,3.000,Independent Research,"[{'days': '\xa0', 'times': 'TBA', 'dates': '09/01-12/07', 'location': 'BY ARR '}]",Rose P.  Rodrigues
75206,SW 0201,A,3.000,Software Engineering Methods,"[{'days': 'T', 'times': '0200pm-0430pm', 'dates': '09/01-12/07', 'location': 'BNW 340'}]",Amalia I.  Rusu
75306,SW 0202,A,3.000,Software Design Methods,"[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '09/14-12/07', 'location': 'BNW 333'}]",Amalia I.  Rusu
75816,SW 0204,A,3.000,Software Project Management,"[{'days': 'T', 'times': '0630pm-0900pm', 'dates': '09/01-12/07', 'location': 'BNW 124'}]",William F.  Guelakis
75307,SW 0304,A,3.000,Web Development,"[{'days': 'T', 'times': '1100am-0130pm', 'dates': '09/01-12/07', 'location': 'BNW 166'}]",Amalia I.  Rusu
77024,SW 0305,A,3.000,Mobile Application Development,"[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '09/01-12/07', 'location': 'BNW 163'}]",Bama   Govindaraja
77025,SW 0314,A,3.000,Network Concepts,"[{'days': 'W', 'times': '0630pm-0900pm', 'dates': '09/01-12/07', 'location': 'MCA 112'}]",Raymond   Angelo
75207,SW 0355,A,3.000,Database Management Systems,"[{'days': 'W', 'times': '0630pm-0900pm', 'dates': '09/01-12/07', 'location': 'BNW 334'}]",Joseph   Corcoran
76527,SW 0400,01,3.000,Software Engineering Methods,"[{'days': 'T', 'times': '0200pm-0430pm', 'dates': '09/01-12/07', 'location': 'BNW 340'}]",Amalia I.  Rusu
75947,SW 0401,01,3.000,Software Design Methods,"[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '09/14-12/07', 'location': 'BNW 333'}]",Amalia I.  Rusu
