term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,cap,act,rem
Spring2016,38470,SP 0211,J,3.000,Intermediate Spanish II,"[{'days': 'MR', 'times': '1100am-1150am', 'dates': '01/19-05/03', 'location': 'MCA 102'}, {'days': 'W', 'times': '1000am-1050am', 'dates': '01/19-05/03', 'location': 'MCA 102'}]","['MR 1100am-1150am 01/19-05/03 MCA 102', 'W 1000am-1050am 01/19-05/03 MCA 102']",Gabriela   Pavon,18,17,1
Spring2016,38471,SP 0211,K,3.000,Intermediate Spanish II,"[{'days': 'MR', 'times': '1230pm-0120pm', 'dates': '01/19-05/03', 'location': 'MCA 102'}, {'days': 'W', 'times': '1200pm-1250pm', 'dates': '01/19-05/03', 'location': 'MCA 102'}]","['MR 1230pm-0120pm 01/19-05/03 MCA 102', 'W 1200pm-1250pm 01/19-05/03 MCA 102']",Gabriela   Pavon,18,16,2
Spring2016,38472,SP 0211,L,3.000,Intermediate Spanish II,"[{'days': 'MWR', 'times': '0200pm-0250pm', 'dates': '01/19-05/03', 'location': 'BNW 254'}]",['MWR 0200pm-0250pm 01/19-05/03 BNW 254'],M Covadonga   Arango-Martin,18,18,0
Spring2016,38473,SP 0211,M,3.000,Intermediate Spanish II,"[{'days': 'MR', 'times': '1100am-1150am', 'dates': '01/19-05/03', 'location': 'CNS 104'}, {'days': 'W', 'times': '1000am-1050am', 'dates': '01/19-05/03', 'location': 'CNS 104'}]","['MR 1100am-1150am 01/19-05/03 CNS 104', 'W 1000am-1050am 01/19-05/03 CNS 104']",M Covadonga   Arango-Martin,18,18,0
Spring2016,38474,SP 0211,N,3.000,Intermediate Spanish II,"[{'days': 'TF', 'times': '1230pm-0120pm', 'dates': '01/19-05/03', 'location': 'CNS 9'}, {'days': 'W', 'times': '0100pm-0150pm', 'dates': '01/19-05/03', 'location': 'CNS 9'}]","['TF 1230pm-0120pm 01/19-05/03 CNS 9', 'W 0100pm-0150pm 01/19-05/03 CNS 9']",Noemi E.  Morriberon,18,18,0
Spring2016,38515,SP 0220,A,3.000,Topics in Language and Culture,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '01/19-05/03', 'location': 'CNS 204'}]",['MR 0200pm-0315pm 01/19-05/03 CNS 204'],Michelle Leigh  Farrell,15,10,5
Spring2016,37213,SP 0245,A,3.000,Analysis and Interpretation of Hispanic Literature,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '01/19-05/03', 'location': 'CNS 202'}]",['MR 0200pm-0315pm 01/19-05/03 CNS 202'],Javier F.  Campos,15,15,0
Spring2016,38348,SP 0253,A,3.000,Spanish-American Civilization,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '01/19-05/03', 'location': 'CNS 202'}]",['MR 0330pm-0445pm 01/19-05/03 CNS 202'],Javier F.  Campos,15,16,-1
Spring2016,39161,SP 0253,B,3.000,Spanish-American Civilization,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '01/19-05/03', 'location': 'DMH 131'}]",['MR 0330pm-0445pm 01/19-05/03 DMH 131'],Antonio   Martinez-Meraz,15,13,2
Spring2016,39029,SP 0357,A,3.000,The Spanish Novel,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '01/19-05/03', 'location': 'CNS 208'}]",['TF 0930am-1045am 01/19-05/03 CNS 208'],Jerelyn M.  Johnson,15,11,4
