term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,cap,act,rem
Fall2017,71588,BI 0203,01,1.000,Biology Teaching Practicum,[],[],Shannon P.  Gerry,0,0,0
Fall2017,71885,BI 0204,01,1.000,Biology Teaching Practicum,[],[],Shannon P.  Gerry,0,0,0
Fall2017,71886,BI 0205,01,1.000,Biology Teaching Practicum,[],[],Shannon P.  Gerry,0,0,0
Fall2017,72111,BI 0206,01,1.000,Biology Teaching Practicum,[],[],Shannon P.  Gerry,0,0,0
Fall2017,72759,BI 0261,01,4.000,Genetics,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '09/05-12/11', 'location': 'NHS 411'}]",['TF 0930am-1045am 09/05-12/11 NHS 411'],Geoffrey A.  Church,16,16,0
Fall2017,72760,BI 0261L,01,0.000,Genetics Lab,"[{'days': 'T', 'times': '0200pm-0450pm', 'dates': '09/05-12/11', 'location': 'BNW 267'}]",['T 0200pm-0450pm 09/05-12/11 BNW 267'],Geoffrey A.  Church,16,16,0
Fall2017,72112,BI 0262,01,4.000,Human Physiology,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '09/05-12/11', 'location': 'BNW 127'}]",['MR 0930am-1045am 09/05-12/11 BNW 127'],Shannon P.  Gerry,16,13,3
Fall2017,72113,BI 0262L,01,0.000,Human Physiology Lab,"[{'days': 'T', 'times': '0200pm-0450pm', 'dates': '09/05-12/11', 'location': 'BNW 240'}]",['T 0200pm-0450pm 09/05-12/11 BNW 240'],Shannon P.  Gerry,16,13,3
Fall2017,72761,BI 0310,01,4.000,Community Nutrition,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '09/05-12/11', 'location': 'BNW 333'}]",['MR 1100am-1215pm 09/05-12/11 BNW 333'],Jacqueline A  Vernarelli,14,13,1
Fall2017,72762,BI 0310L,01,0.000,Community Nutrition Lab,"[{'days': 'W', 'times': '0915am-1200pm', 'dates': '09/05-12/11', 'location': 'BNW 124'}]",['W 0915am-1200pm 09/05-12/11 BNW 124'],Jacqueline A  Vernarelli,14,13,1
Fall2017,71887,BI 0324,01,3.000,Biochemistry I,"[{'days': 'TR', 'times': '0500pm-0615pm', 'dates': '09/05-12/11', 'location': 'NHS 405'}]",['TR 0500pm-0615pm 09/05-12/11 NHS 405'],Aaron R.  Van Dyke,12,11,1
Fall2017,72114,BI 0324L,01,1.000,Biochemistry Lab,"[{'days': 'W', 'times': '0200pm-0450pm', 'dates': '09/05-12/11', 'location': 'BNW 269'}]",['W 0200pm-0450pm 09/05-12/11 BNW 269'],Aaron R.  Van Dyke,8,9,-1
Fall2017,72115,BI 0325,01,3.000,Biochemistry II,"[{'days': 'MR', 'times': '0800am-0915am', 'dates': '09/05-12/11', 'location': 'NHS 405'}]",['MR 0800am-0915am 09/05-12/11 NHS 405'],Glenn R.  Sauer,8,18,-10
Fall2017,71347,BI 0352,01,4.000,Fundamentals of Microbiology,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '09/05-12/11', 'location': 'NHS 411'}]",['TF 1100am-1215pm 09/05-12/11 NHS 411'],Olivia T.  Harriott,14,15,-1
Fall2017,71544,BI 0352L,01,0.000,Fundamentals of Microbiology Lab,"[{'days': 'R', 'times': '0930am-1220pm', 'dates': '09/05-12/11', 'location': 'BNW 245'}]",['R 0930am-1220pm 09/05-12/11 BNW 245'],Olivia T.  Harriott,14,14,0
Fall2017,72354,BI 0354,01,3.000,Molecular Biology,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '09/05-12/11', 'location': 'NHS 403'}]",['MR 1230pm-0145pm 09/05-12/11 NHS 403'],Phyllis Cellini  Braun,20,11,9
Fall2017,71348,BI 0391,01,1.000-3.000,Biology Research I,"[{'days': 'W', 'times': '1100am-0130pm', 'dates': '09/05-12/11', 'location': 'BNW GR22'}]",['W 1100am-0130pm 09/05-12/11 BNW GR22'],Soyong   Byun,0,9,-9
Fall2017,72763,BI 0392,01,1.000-3.000,Biology Research II,"[{'days': 'W', 'times': '1100am-0130pm', 'dates': '09/05-12/11', 'location': 'BNW GR22'}]",['W 1100am-0130pm 09/05-12/11 BNW GR22'],Soyong   Byun,0,4,-4
Fall2017,71349,BI 0393,01,1.000-3.000,Biology Research III,"[{'days': 'W', 'times': '1100am-0130pm', 'dates': '09/05-12/11', 'location': 'BNW GR22'}]",['W 1100am-0130pm 09/05-12/11 BNW GR22'],Soyong   Byun,0,2,-2
Fall2017,72117,BI 0394,01,1.000-3.000,Biology Research IV,"[{'days': 'W', 'times': '1100am-0130pm', 'dates': '09/05-12/11', 'location': 'BNW GR22'}]",['W 1100am-0130pm 09/05-12/11 BNW GR22'],Soyong   Byun,0,4,-4
Fall2017,72213,BI 0397,01,1.000-3.000,Internship,[],[],Shannon P.  Gerry,0,7,-7
Fall2017,72537,BI 0399D,01,3.000,Senior Capstone Seminar: Nutritional Epigenetics,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '09/05-12/11', 'location': 'BNW 341'}]",['TF 1100am-1215pm 09/05-12/11 BNW 341'],Catherine J.  Andersen,10,11,-1
Fall2017,72764,BI 0399I,01,3.000,Senior Capstone Seminar: Topics in Evolutionary Biology,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '09/05-12/11', 'location': 'BNW 469'}]",['TF 0930am-1045am 09/05-12/11 BNW 469'],Soyong   Byun,9,11,-2
Fall2017,72916,BL 0101,01,3.000,Black Lives Matter,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '09/05-12/11', 'location': 'CNS 9'}]",['MR 0330pm-0445pm 09/05-12/11 CNS 9'],Anna M.  Lawrence,20,15,5
